dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000979,1.000000,0.000399,0.039916,1.995804,99.790177,6.282206
0.020000,0.000899,1.000000,0.000479,0.003984,-1.796598,-189.620082,6.282286
0.020000,0.000740,1.000000,0.000638,0.007970,0.199301,99.794949,6.282445
0.020000,0.000501,1.000000,0.000877,0.011960,0.199492,0.009547,6.282685
0.020000,0.000182,1.000000,0.001197,0.015956,0.199778,0.014330,6.283004
0.020000,0.004133,1.000000,0.005148,0.197561,9.080275,444.024835,0.000218
0.020000,0.013234,1.000005,0.014248,0.455030,12.873437,189.658091,0.000697
0.020000,0.023849,1.000015,0.024864,0.530792,3.788101,-454.266787,0.001258
0.020000,0.035980,1.000034,0.036995,0.606527,3.786750,-0.067546,0.001899
0.020000,0.049628,1.000065,0.050643,0.682389,3.793088,0.316898,0.002623
0.020000,0.064788,1.000111,0.065803,0.758045,3.782841,-0.512344,0.003428
0.020000,0.081463,1.000175,0.082478,0.833719,3.783663,0.041057,0.004317
0.020000,0.099650,1.000263,0.100666,0.909387,3.783401,-0.013070,0.005289
0.020000,0.119350,1.000377,0.120366,0.985028,3.782050,-0.067563,0.006345
0.020000,0.140562,1.000524,0.141578,1.060620,3.779602,-0.122403,0.007485
0.020000,0.163284,1.000708,0.164301,1.136141,3.776050,-0.177573,0.008712
0.020000,0.187515,1.000935,0.188533,1.211568,3.771389,-0.233054,0.010025
0.020000,0.213256,1.001211,0.214276,1.287160,3.779571,0.409083,0.011427
0.020000,0.240504,1.001543,0.241525,1.362480,3.765980,-0.679523,0.012916
0.020000,0.269258,1.001937,0.270282,1.437840,3.768004,0.101192,0.014496
0.020000,0.299516,1.002401,0.300543,1.513053,3.760680,-0.366236,0.016166
0.020000,0.331279,1.002942,0.332311,1.588401,3.767372,0.334605,0.017929
0.020000,0.364543,1.003570,0.365581,1.663480,3.753966,-0.670279,0.019786
0.020000,0.399306,1.004291,0.400352,1.738538,3.752893,-0.053667,0.021738
0.020000,0.435568,1.005117,0.436623,1.813550,3.750611,-0.114089,0.023786
0.020000,0.473326,1.006056,0.474393,1.888492,3.747106,-0.175250,0.025932
0.020000,0.512578,1.007118,0.513659,1.963339,3.742364,-0.237121,0.028179
0.020000,0.553322,1.008314,0.554421,2.038067,3.736370,-0.299671,0.030527
0.020000,0.595554,1.009656,0.596674,2.112649,3.729113,-0.362868,0.032978
0.020000,0.639275,1.011154,0.640421,2.187360,3.735566,0.322671,0.035535
0.020000,0.684479,1.012821,0.685655,2.261712,3.717565,-0.900075,0.038199
0.020000,0.731165,1.014670,0.732378,2.336127,3.720764,0.159961,0.040973
0.020000,0.779326,1.016714,0.780582,2.410235,3.705396,-0.768408,0.043859
0.020000,0.828965,1.018967,0.830272,2.484493,3.712899,0.375173,0.046860
0.020000,0.880074,1.021443,0.881441,2.558457,3.698199,-0.735021,0.049977
0.020000,0.932650,1.024158,0.934087,2.632291,3.691700,-0.324936,0.053214
0.020000,0.986688,1.027128,0.988207,2.706004,3.685658,-0.302104,0.056573
0.020000,1.042185,1.030367,1.043799,2.779567,3.678145,-0.375655,0.060057
0.020000,1.099135,1.033895,1.100858,2.852950,3.669141,-0.450200,0.063669
0.020000,1.157536,1.037728,1.159384,2.926336,3.669324,0.009152,0.067412
0.020000,1.217380,1.041884,1.219372,2.999407,3.653528,-0.789774,0.071290
0.020000,1.278661,1.046384,1.280818,3.072282,3.643749,-0.488981,0.075306
0.020000,1.341374,1.051247,1.343720,3.145101,3.640973,-0.138781,0.079464
0.020000,1.405514,1.056493,1.408074,3.217675,3.628664,-0.615451,0.083766
0.020000,1.471070,1.062144,1.473873,3.289996,3.616050,-0.630705,0.088218
0.020000,1.538038,1.068222,1.541117,3.362164,3.608425,-0.381270,0.092823
0.020000,1.606410,1.074751,1.609800,3.434145,3.599029,-0.469764,0.097586
0.020000,1.676178,1.081754,1.679918,3.505901,3.587840,-0.559470,0.102510
0.020000,1.747331,1.089256,1.751466,3.577398,3.574836,-0.650212,0.107602
0.020000,1.819860,1.097283,1.824438,3.648598,3.560000,-0.741793,0.112864
0.020000,1.893757,1.105862,1.898831,3.719653,3.552764,-0.361793,0.118303
0.020000,1.969010,1.115021,1.974638,3.790390,3.536834,-0.796524,0.123924
0.020000,2.045607,1.124787,2.051856,3.860886,3.524792,-0.602085,0.129732
0.020000,2.123536,1.135192,2.130476,3.931006,3.506002,-0.939470,0.135733
0.020000,2.202784,1.146265,2.210494,4.000897,3.494536,-0.573337,0.141933
0.020000,2.283339,1.158038,2.291905,4.070515,3.480927,-0.680413,0.148338
0.020000,2.365185,1.170545,2.374701,4.139819,3.465165,-0.788108,0.154954
0.020000,2.448307,1.183819,2.458876,4.208763,3.447246,-0.895984,0.161788
