dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000979,-1.000000,0.000399,0.039916,1.995804,99.790177,6.282206
0.020000,-0.000899,-1.000000,0.000479,0.003984,-1.796598,-189.620082,6.282286
0.020000,-0.000740,-1.000000,0.000638,0.007970,0.199301,99.794949,6.282445
0.020000,-0.000501,-1.000000,0.000877,0.011960,0.199492,0.009547,6.282685
0.020000,-0.000182,-1.000000,0.001197,0.015956,0.199778,0.014330,6.283004
0.020000,0.004568,-1.000000,0.005946,0.237489,11.076694,543.845770,0.000218
0.020000,0.014628,-0.999995,0.016006,0.502997,13.275372,109.933905,0.000697
0.020000,0.026365,-0.999983,0.027743,0.586837,4.192017,-454.167747,0.001258
0.020000,0.039779,-0.999962,0.041157,0.670690,4.192656,0.031934,0.001899
0.020000,0.054873,-0.999928,0.056251,0.754733,4.202113,0.472881,0.002623
0.020000,0.071645,-0.999877,0.073024,0.838604,4.193548,-0.428282,0.003428
0.020000,0.090096,-0.999806,0.091475,0.922554,4.197544,0.199837,0.004317
0.020000,0.110227,-0.999709,0.111606,1.006568,4.200673,0.156442,0.005289
0.020000,0.132039,-0.999582,0.133419,1.090626,4.202931,0.112869,0.006345
0.020000,0.155533,-0.999420,0.156913,1.174713,4.204314,0.069145,0.007485
0.020000,0.180708,-0.999216,0.182089,1.258809,4.204820,0.025299,0.008712
0.020000,0.207565,-0.998964,0.208947,1.342898,4.204447,-0.018642,0.010025
0.020000,0.236109,-0.998658,0.237492,1.427272,4.218675,0.711396,0.011427
0.020000,0.266336,-0.998290,0.267721,1.511454,4.209135,-0.476963,0.012916
0.020000,0.298249,-0.997853,0.299637,1.595800,4.217287,0.407596,0.014496
0.020000,0.331847,-0.997338,0.333240,1.680109,4.215455,-0.091602,0.016166
0.020000,0.367136,-0.996736,0.368534,1.764701,4.229590,0.706716,0.017929
0.020000,0.404112,-0.996039,0.405516,1.849137,4.221812,-0.388876,0.019786
0.020000,0.442778,-0.995236,0.444190,1.933700,4.228153,0.317036,0.021738
0.020000,0.483135,-0.994317,0.484558,2.018372,4.233590,0.271862,0.023786
0.020000,0.525185,-0.993272,0.526621,2.103134,4.238118,0.226389,0.025932
0.020000,0.568928,-0.992088,0.570380,2.187969,4.241731,0.180661,0.028179
0.020000,0.614365,-0.990754,0.615837,2.272857,4.244425,0.134723,0.030527
0.020000,0.661497,-0.989257,0.662993,2.357781,4.246198,0.088624,0.032978
0.020000,0.710330,-0.987584,0.711854,2.443057,4.263792,0.879689,0.035535
0.020000,0.760858,-0.985720,0.762417,2.528149,4.254608,-0.459165,0.038199
0.020000,0.813088,-0.983651,0.814688,2.613543,4.269653,0.752250,0.040973
0.020000,0.867016,-0.981363,0.868664,2.698832,4.264499,-0.257719,0.043859
0.020000,0.922650,-0.978838,0.924355,2.784543,4.285538,1.051967,0.046860
0.020000,0.979987,-0.976059,0.981759,2.870190,4.282323,-0.160768,0.049977
0.020000,1.039027,-0.973011,1.040878,2.955968,4.288918,0.329746,0.053214
0.020000,1.099774,-0.969673,1.101716,3.041902,4.296682,0.388207,0.056573
0.020000,1.162227,-0.966027,1.164276,3.127971,4.303474,0.339602,0.060057
0.020000,1.226387,-0.962053,1.228559,3.214157,4.309290,0.290799,0.063669
0.020000,1.292259,-0.957730,1.294573,3.300681,4.326200,0.845478,0.067412
0.020000,1.359840,-0.953035,1.362317,3.387198,4.325859,-0.017021,0.071290
0.020000,1.429131,-0.947948,1.431794,3.473860,4.333074,0.360739,0.075306
0.020000,1.500134,-0.942442,1.503011,3.560840,4.349037,0.798152,0.079464
0.020000,1.572850,-0.936495,1.575969,3.647942,4.355074,0.301866,0.083766
0.020000,1.647278,-0.930079,1.650673,3.735175,4.361632,0.327870,0.088218
0.020000,1.723418,-0.923168,1.727126,3.822670,4.374764,0.656631,0.092823
0.020000,1.801272,-0.915734,1.805334,3.910407,4.386849,0.604255,0.097586
0.020000,1.880840,-0.907747,1.885302,3.998364,4.397883,0.551691,0.102510
0.020000,1.962120,-0.899177,1.967032,4.086522,4.407865,0.499104,0.107602
0.020000,2.045110,-0.889992,2.050529,4.174858,4.416799,0.446672,0.112864
0.020000,2.129812,-0.880158,2.135801,4.263568,4.435525,0.936317,0.118303
0.020000,2.216224,-0.869642,2.222850,4.352477,4.445435,0.495506,0.123924
0.020000,2.304345,-0.858406,2.311684,4.441696,4.460970,0.776737,0.129732
0.020000,2.394170,-0.846413,2.402306,4.531095,4.469940,0.448509,0.135733
0.020000,2.485698,-0.833624,2.494723,4.620867,4.488576,0.931801,0.141933
0.020000,2.578927,-0.819998,2.588943,4.710987,4.506038,0.873104,0.148338
0.020000,2.673854,-0.805492,2.684972,4.801434,4.522327,0.814417,0.154954
