dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.007104,24.129101,0.000400,0.040000,2.000000,100.000000,6.283122
0.020000,0.007097,24.129101,0.000407,0.000340,-1.982999,-199.149959,6.283129
0.020000,0.007084,24.129101,0.000420,0.000680,0.016989,99.999415,6.283142
0.020000,0.007063,24.129101,0.000441,0.001019,0.016966,-0.001170,6.283163
0.020000,0.008128,24.129101,0.001505,0.053227,2.610378,129.670608,0.000005
0.020000,0.016094,24.129101,0.009471,0.398305,17.253898,732.176010,0.000039
0.020000,0.025653,24.129102,0.019031,0.477968,3.983172,-663.536305,0.000079
0.020000,0.036806,24.129103,0.030183,0.557633,3.983244,0.003610,0.000127
0.020000,0.049552,24.129105,0.042929,0.637300,3.983329,0.004253,0.000181
0.020000,0.063891,24.129108,0.057269,0.716968,3.983419,0.004500,0.000241
0.020000,0.079824,24.129113,0.073202,0.796638,3.983525,0.005283,0.000308
0.020000,0.097350,24.129119,0.090728,0.876311,3.983642,0.005834,0.000382
0.020000,0.116470,24.129127,0.109848,0.955987,3.983773,0.006566,0.000462
0.020000,0.137183,24.129137,0.130561,1.035665,3.983912,0.006938,0.000549
0.020000,0.159490,24.129150,0.152868,1.115346,3.984060,0.007420,0.000642
0.020000,0.183391,24.129167,0.176768,1.195031,3.984232,0.008598,0.000742
0.020000,0.208885,24.129187,0.202263,1.274719,3.984400,0.008386,0.000847
0.020000,0.235973,24.129212,0.229351,1.354411,3.984589,0.009460,0.000959
0.020000,0.264655,24.129241,0.258033,1.434106,3.984791,0.010100,0.001077
0.020000,0.294931,24.129275,0.288309,1.513806,3.984999,0.010388,0.001201
0.020000,0.326802,24.129316,0.320179,1.593511,3.985221,0.011104,0.001331
0.020000,0.360266,24.129362,0.353644,1.673220,3.985457,0.011821,0.001466
0.020000,0.395325,24.129416,0.388702,1.752934,3.985701,0.012195,0.001607
0.020000,0.431978,24.129478,0.425356,1.832653,3.985957,0.012774,0.001754
0.020000,0.470225,24.129548,0.463603,1.912378,3.986230,0.013662,0.001907
0.020000,0.510067,24.129627,0.503445,1.992108,3.986506,0.013798,0.002065
0.020000,0.551504,24.129716,0.544882,2.071844,3.986804,0.014927,0.002228
0.020000,0.594536,24.129816,0.587914,2.151586,3.987104,0.014988,0.002396
0.020000,0.639162,24.129926,0.632541,2.231334,3.987421,0.015841,0.002569
0.020000,0.685384,24.130049,0.678762,2.311089,3.987749,0.016400,0.002748
