dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.007041,23.129101,0.000400,0.040000,2.000000,100.000000,6.283122
0.020000,0.007041,23.129101,0.002000,0.120000,4.000000,100.000000,6.283129
0.020000,0.007041,23.129101,0.005200,0.200000,4.000000,0.000000,6.283142
0.020000,0.007041,23.129101,0.010000,0.280000,4.000000,0.000000,6.283163
0.020000,0.008132,23.129101,0.016400,0.360000,4.000000,-0.000000,0.000005
0.020000,0.016132,23.129101,0.024400,0.440000,4.000000,0.000000,0.000039
0.020000,0.025732,23.129102,0.034000,0.520000,4.000000,0.000000,0.000079
0.020000,0.036932,23.129103,0.045200,0.600000,4.000000,-0.000000,0.000127
0.020000,0.049732,23.129105,0.058000,0.680000,4.000000,0.000000,0.000181
0.020000,0.064132,23.129108,0.072400,0.760000,4.000000,-0.000000,0.000241
0.020000,0.080132,23.129113,0.088400,0.840000,4.000000,0.000000,0.000308
0.020000,0.097732,23.129119,0.106000,0.920000,4.000000,-0.000000,0.000382
0.020000,0.116932,23.129127,0.125200,1.000000,4.000000,0.000000,0.000462
0.020000,0.137732,23.129137,0.146000,1.080000,4.000000,0.000000,0.000549
0.020000,0.160132,23.129151,0.168400,1.160000,4.000000,0.000000,0.000642
0.020000,0.184132,23.129167,0.192400,1.240000,4.000000,-0.000000,0.000742
0.020000,0.209732,23.129188,0.218000,1.320000,4.000000,0.000000,0.000847
0.020000,0.236932,23.129212,0.245200,1.400000,4.000000,0.000000,0.000959
0.020000,0.265732,23.129241,0.274000,1.480000,4.000000,-0.000000,0.001077
0.020000,0.296132,23.129276,0.304400,1.560000,4.000000,0.000000,0.001201
0.020000,0.328132,23.129317,0.336400,1.640000,4.000000,0.000000,0.001331
0.020000,0.361732,23.129364,0.370000,1.720000,4.000000,-0.000000,0.001466
0.020000,0.396932,23.129418,0.405200,1.800000,4.000000,0.000000,0.001607
0.020000,0.433732,23.129480,0.442000,1.880000,4.000000,0.000000,0.001754
0.020000,0.472132,23.129550,0.480400,1.960000,4.000000,0.000000,0.001907
0.020000,0.512132,23.129629,0.520400,2.040000,4.000000,0.000000,0.002065
0.020000,0.553732,23.129719,0.562000,2.120000,4.000000,0.000000,0.002228
0.020000,0.596932,23.129818,0.605200,2.200000,4.000000,0.000000,0.002396
0.020000,0.641732,23.129930,0.650000,2.280000,4.000000,0.000000,0.002569
0.020000,0.688131,23.130053,0.696400,2.360000,4.000000,-0.000000,0.002748
0.020000,0.736131,23.130189,0.744400,2.440000,4.000000,0.000000,0.002931
0.020000,0.785731,23.130339,0.794000,2.520000,4.000000,0.000000,0.003118
0.020000,0.836931,23.130504,0.845200,2.600000,4.000000,0.000000,0.003310
0.020000,0.889730,23.130684,0.898000,2.680000,4.000000,0.000000,0.003507
0.020000,0.944130,23.130880,0.952400,2.760000,4.000000,0.000000,0.003707
0.020000,1.000130,23.131093,1.008400,2.840000,4.000000,-0.000000,0.003912
0.020000,1.057729,23.131325,1.066000,2.920000,4.000000,0.000000,0.004120
0.020000,1.116929,23.131575,1.125200,3.000000,4.000000,0.000000,0.004332
0.020000,1.177728,23.131845,1.186000,3.080000,4.000000,0.000000,0.004548
0.020000,1.240127,23.132136,1.248400,3.160000,4.000000,0.000000,0.004767
0.020000,1.304127,23.132448,1.312400,3.240000,4.000000,0.000000,0.004989
0.020000,1.369726,23.132783,1.378000,3.320000,4.000000,0.000000,0.005214
0.020000,1.436925,23.133141,1.445200,3.400000,4.000000,0.000000,0.005442
0.020000,1.505724,23.133523,1.514000,3.480000,4.000000,-0.000000,0.005673
0.020000,1.576123,23.133931,1.584400,3.560000,4.000000,0.000000,0.005905
0.020000,1.648121,23.134364,1.656400,3.640000,4.000000,0.000000,0.006140
0.020000,1.721720,23.134825,1.730000,3.720000,4.000000,0.000000,0.006377
0.020000,1.796918,23.135313,1.805200,3.800000,4.000000,0.000000,0.006616
0.020000,1.873717,23.135831,1.882000,3.880000,4.000000,0.000000,0.006856
0.020000,1.952115,23.136378,1.960400,3.960000,4.000000,0.000000,0.007098
0.020000,2.032113,23.136955,2.040400,4.040000,4.000000,0.000000,0.007340
0.020000,2.113710,23.137564,2.122000,4.120000,4.000000,0.000000,0.007584
0.020000,2.196908,23.138205,2.205200,4.200000,4.000000,0.000000,0.007828
0.020000,2.281705,23.138879,2.290000,4.280000,4.000000,0.000000,0.008072
0.020000,2.368102,23.139587,2.376400,4.360000,4.000000,0.000000,0.008316
0.020000,2.456099,23.140330,2.464400,4.440000,4.000000,0.000000,0.008561
0.020000,2.545696,23.141108,2.554000,4.520000,4.000000,0.000000,0.008804
0.020000,2.636892,23.141922,2.645200,4.600000,4.000000,0.000000,0.009048
0.020000,2.729688,23.142773,2.738000,4.680000,4.000000,0.000000,0.009290
0.020000,2.824084,23.143661,2.832400,4.760000,4.000000,-0.000000,0.009531
0.020000,2.920080,23.144588,2.928400,4.840000,4.000000,0.000000,0.009770
0.020000,3.017675,23.145553,3.026000,4.920000,4.000000,0.000000,0.010008
0.020000,3.116870,23.146558,3.125200,5.000000,4.000000,0.000000,0.010244
0.020000,3.217664,23.147602,3.226000,5.080000,4.000000,0.000000,0.010477
0.020000,3.320058,23.148687,3.328400,5.160000,4.000000,0.000000,0.010708
0.020000,3.424052,23.149812,3.432400,5.240000,4.000000,0.000000,0.010936
0.020000,3.529646,23.150979,3.538000,5.320000,4.000000,0.000000,0.011160
0.020000,3.636839,23.152187,3.645200,5.400000,4.000000,0.000000,0.011381
0.020000,3.745632,23.153437,3.754000,5.480000,4.000000,0.000000,0.011599
0.020000,3.856024,23.154730,3.864400,5.560000,4.000000,0.000000,0.011812
0.020000,3.968016,23.156064,3.976400,5.640000,4.000000,-0.000000,0.012020
0.020000,4.081608,23.157441,4.090000,5.720000,4.000000,0.000000,0.012224
0.020000,4.196799,23.158861,4.205200,5.800000,4.000000,0.000000,0.012422
0.020000,4.313590,23.160323,4.322000,5.880000,4.000000,0.000000,0.012615
0.020000,4.431981,23.161828,4.440400,5.960000,4.000000,0.000000,0.012802
0.020000,4.551971,23.163375,4.560400,6.040000,4.000000,0.000000,0.012983
0.020000,4.673560,23.164965,4.682000,6.120000,4.000000,0.000000,0.013158
0.020000,4.796749,23.166596,4.805200,6.200000,4.000000,0.000000,0.013325
0.020000,4.921538,23.168269,4.930000,6.280000,4.000000,0.000000,0.013485
0.020000,5.047927,23.169983,5.056400,6.360000,4.000000,0.000000,0.013638
0.020000,5.175915,23.171738,5.184400,6.440000,4.000000,0.000000,0.013782
0.020000,5.305502,23.173533,5.314000,6.520000,4.000000,0.000000,0.013919
0.020000,5.436689,23.175368,5.445200,6.600000,4.000000,0.000000,0.014046
0.020000,5.569476,23.177241,5.578000,6.680000,4.000000,0.000000,0.014164
0.020000,5.703863,23.179152,5.712400,6.760000,4.000000,0.000000,0.014273
0.020000,5.839849,23.181100,5.848400,6.840000,4.000000,0.000000,0.014372
