dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.006977,22.129101,0.000400,0.040000,2.000000,100.000000,6.283122
0.020000,0.006984,22.129101,0.000407,0.000340,-1.982999,-199.149959,6.283129
0.020000,0.006998,22.129101,0.000420,0.000680,0.016989,99.999415,6.283142
0.020000,0.007018,22.129101,0.000441,0.001019,0.016966,-0.001170,6.283163
0.020000,0.008137,22.129101,0.001560,0.055942,2.746151,136.459241,0.000005
0.020000,0.016171,22.129101,0.009594,0.401695,17.287666,727.075764,0.000039
0.020000,0.025811,22.129102,0.019234,0.482032,4.016823,-663.542154,0.000079
0.020000,0.037059,22.129103,0.030482,0.562367,4.016755,-0.003407,0.000127
0.020000,0.049913,22.129105,0.043336,0.642701,4.016676,-0.003932,0.000181
0.020000,0.064373,22.129108,0.057796,0.723032,4.016579,-0.004858,0.000241
0.020000,0.080441,22.129113,0.073863,0.803362,4.016474,-0.005243,0.000308
0.020000,0.098114,22.129119,0.091537,0.883689,4.016357,-0.005862,0.000382
0.020000,0.117395,22.129127,0.110817,0.964013,4.016231,-0.006299,0.000462
0.020000,0.138281,22.129137,0.131704,1.044335,4.016089,-0.007098,0.000549
0.020000,0.160775,22.129151,0.154197,1.124654,4.015933,-0.007788,0.000642
0.020000,0.184874,22.129168,0.178297,1.204969,4.015778,-0.007774,0.000742
0.020000,0.210580,22.129188,0.204002,1.285281,4.015594,-0.009164,0.000847
0.020000,0.237891,22.129213,0.231314,1.365589,4.015409,-0.009255,0.000959
0.020000,0.266809,22.129242,0.260232,1.445894,4.015213,-0.009785,0.001077
0.020000,0.297333,22.129277,0.290756,1.526194,4.015000,-0.010670,0.001201
0.020000,0.329463,22.129317,0.322886,1.606489,4.014778,-0.011123,0.001331
0.020000,0.363198,22.129365,0.356621,1.686780,4.014546,-0.011576,0.001466
0.020000,0.398540,22.129419,0.391962,1.767066,4.014299,-0.012374,0.001607
0.020000,0.435487,22.129481,0.428909,1.847347,4.014039,-0.012966,0.001754
0.020000,0.474039,22.129552,0.467462,1.927622,4.013774,-0.013247,0.001907
0.020000,0.514197,22.129631,0.507620,2.007892,4.013489,-0.014286,0.002065
0.020000,0.555960,22.129721,0.549383,2.088156,4.013202,-0.014323,0.002228
0.020000,0.599328,22.129821,0.592751,2.168414,4.012893,-0.015437,0.002396
0.020000,0.644301,22.129933,0.637724,2.248666,4.012578,-0.015753,0.002569
0.020000,0.690879,22.130057,0.684303,2.328911,4.012251,-0.016366,0.002748
0.020000,0.739062,22.130194,0.732486,2.409149,4.011912,-0.016975,0.002931
0.020000,0.788849,22.130344,0.782273,2.489380,4.011560,-0.017580,0.003118
0.020000,0.840241,22.130509,0.833665,2.569604,4.011199,-0.018055,0.003310
0.020000,0.893237,22.130690,0.886662,2.649821,4.010823,-0.018779,0.003507
0.020000,0.947837,22.130887,0.941262,2.730029,4.010436,-0.019343,0.003707
0.020000,1.004042,22.131101,0.997467,2.810230,4.010039,-0.019865,0.003912
0.020000,1.061850,22.131333,1.055275,2.890423,4.009630,-0.020439,0.004120
0.020000,1.121261,22.131584,1.114687,2.970607,4.009208,-0.021140,0.004332
0.020000,1.182276,22.131855,1.175703,3.050782,4.008775,-0.021633,0.004548
0.020000,1.244894,22.132147,1.238322,3.130949,4.008330,-0.022236,0.004767
0.020000,1.309116,22.132460,1.302544,3.211106,4.007873,-0.022835,0.004989
0.020000,1.374940,22.132796,1.368369,3.291254,4.007405,-0.023424,0.005214
0.020000,1.442367,22.133155,1.435797,3.371393,4.006927,-0.023908,0.005442
0.020000,1.511396,22.133539,1.504828,3.451522,4.006433,-0.024714,0.005673
0.020000,1.582028,22.133948,1.575460,3.531640,4.005931,-0.025063,0.005905
0.020000,1.654262,22.134383,1.647695,3.611749,4.005415,-0.025835,0.006140
0.020000,1.728097,22.134845,1.721532,3.691846,4.004888,-0.026311,0.006377
0.020000,1.803534,22.135335,1.796971,3.771933,4.004350,-0.026899,0.006616
0.020000,1.880573,22.135854,1.874011,3.852009,4.003800,-0.027543,0.006856
0.020000,1.959212,22.136403,1.952653,3.932074,4.003238,-0.028089,0.007098
0.020000,2.039453,22.136982,2.032895,4.012127,4.002664,-0.028677,0.007340
0.020000,2.121294,22.137593,2.114739,4.092169,4.002078,-0.029286,0.007584
0.020000,2.204735,22.138236,2.198183,4.172199,4.001481,-0.029854,0.007828
0.020000,2.289777,22.138912,2.283227,4.252216,4.000873,-0.030419,0.008072
0.020000,2.376418,22.139622,2.369871,4.332221,4.000252,-0.031046,0.008316
0.020000,2.464660,22.140367,2.458116,4.412213,3.999620,-0.031602,0.008561
0.020000,2.554500,22.141147,2.547959,4.492193,3.998976,-0.032195,0.008804
0.020000,2.645940,22.141963,2.639403,4.572159,3.998320,-0.032784,0.009048
0.020000,2.738978,22.142816,2.732445,4.652112,3.997653,-0.033364,0.009290
0.020000,2.833615,22.143707,2.827086,4.732052,3.996974,-0.033950,0.009531
0.020000,2.929850,22.144636,2.923325,4.811978,3.996283,-0.034548,0.009770
0.020000,3.027683,22.145603,3.021163,4.891889,3.995581,-0.035106,0.010008
0.020000,3.127113,22.146610,3.120599,4.971787,3.994867,-0.035707,0.010244
0.020000,3.228141,22.147657,3.221632,5.051669,3.994141,-0.036304,0.010477
0.020000,3.330766,22.148744,3.324263,5.131537,3.993403,-0.036869,0.010708
0.020000,3.434988,22.149872,3.428491,5.211391,3.992654,-0.037452,0.010936
0.020000,3.540806,22.151041,3.534315,5.291228,3.991893,-0.038053,0.011160
0.020000,3.648220,22.152252,3.641736,5.371051,3.991121,-0.038635,0.011381
0.020000,3.757230,22.153505,3.750754,5.450858,3.990336,-0.039215,0.011599
0.020000,3.867836,22.154800,3.861367,5.530648,3.989541,-0.039794,0.011812
0.020000,3.980036,22.156137,3.973575,5.610423,3.988733,-0.040371,0.012020
0.020000,4.093831,22.157516,4.087379,5.690181,3.987913,-0.040983,0.012224
0.020000,4.209221,22.158938,4.202777,5.769923,3.987082,-0.041558,0.012422
0.020000,4.326205,22.160403,4.319770,5.849648,3.986240,-0.042125,0.012615
0.020000,4.444783,22.161910,4.438357,5.929355,3.985386,-0.042709,0.012802
0.020000,4.564953,22.163460,4.558538,6.009046,3.984519,-0.043338,0.012983
0.020000,4.686717,22.165051,4.680312,6.088719,3.983641,-0.043878,0.013158
0.020000,4.810074,22.166685,4.803680,6.168374,3.982752,-0.044465,0.013325
0.020000,4.935023,22.168360,4.928640,6.248011,3.981851,-0.045067,0.013485
0.020000,5.061564,22.170076,5.055193,6.327629,3.980937,-0.045661,0.013638
0.020000,5.189697,22.171833,5.183337,6.407230,3.980013,-0.046198,0.013782
0.020000,5.319420,22.173630,5.313074,6.486811,3.979077,-0.046820,0.013919
0.020000,5.450735,22.175466,5.444401,6.566374,3.978129,-0.047421,0.014046
0.020000,5.583640,22.177341,5.577319,6.645917,3.977169,-0.047965,0.014164
0.020000,5.718135,22.179254,5.711828,6.725441,3.976198,-0.048564,0.014273
0.020000,5.854220,22.181203,5.847927,6.804945,3.975215,-0.049164,0.014372
0.020000,5.991895,22.183188,5.985616,6.884430,3.974220,-0.049743,0.014461
0.020000,6.131158,22.185208,6.124894,6.963894,3.973213,-0.050323,0.014539
0.020000,6.272010,22.187261,6.265760,7.043338,3.972195,-0.050906,0.014605
0.020000,6.414450,22.189345,6.408216,7.122761,3.971165,-0.051492,0.014661
0.020000,6.558477,22.191460,6.552259,7.202164,3.970124,-0.052081,0.014704
0.020000,6.704092,22.193604,6.697890,7.281545,3.969070,-0.052682,0.014735
0.020000,6.851295,22.195775,6.845108,7.360905,3.968005,-0.053240,0.014753
0.020000,7.000083,22.197970,6.993913,7.440244,3.966928,-0.053848,0.014758
0.020000,7.150458,22.200189,7.144304,7.519561,3.965840,-0.054425,0.014749
0.020000,7.302419,22.202429,7.296281,7.598856,3.964740,-0.055014,0.014726
0.020000,7.455965,22.204688,7.449844,7.678128,3.963628,-0.055602,0.014689
0.020000,7.611096,22.206963,7.604991,7.757378,3.962504,-0.056189,0.014636
0.020000,7.767811,22.209251,7.761723,7.836606,3.961368,-0.056775,0.014568
0.020000,7.926110,22.211551,7.920040,7.915810,3.960221,-0.057347,0.014485
0.020000,8.085994,22.213860,8.079939,7.994991,3.959062,-0.057976,0.014384
0.020000,8.247460,22.216173,8.241422,8.074149,3.957892,-0.058509,0.014267
0.020000,8.410509,22.218489,8.404488,8.153283,3.956709,-0.059157,0.014133
0.020000,8.575141,22.220803,8.569136,8.232393,3.955515,-0.059676,0.013981
0.020000,8.741354,22.223113,8.735365,8.311480,3.954309,-0.060313,0.013810
0.020000,8.909149,22.225415,8.903176,8.390541,3.953091,-0.060892,0.013621
0.020000,9.078525,22.227705,9.072568,8.469579,3.951862,-0.061472,0.013413
0.020000,9.249482,22.229979,9.243540,8.548591,3.950620,-0.062064,0.013185
0.020000,9.422019,22.232233,9.416091,8.627578,3.949368,-0.062612,0.012936
0.020000,9.596136,22.234462,9.590222,8.706541,3.948103,-0.063263,0.012667
0.020000,9.771831,22.236663,9.765932,8.785477,3.946826,-0.063826,0.012377
0.020000,9.949106,22.238829,9.943219,8.864388,3.945539,-0.064366,0.012064
0.020000,10.127959,22.240958,10.122085,8.943273,3.944239,-0.065008,0.011730
0.020000,10.308389,22.243042,10.302527,9.022131,3.942927,-0.065573,0.011372
0.020000,10.490397,22.245078,10.484547,9.100963,3.941604,-0.066139,0.010992
0.020000,10.673982,22.247059,10.668142,9.179769,3.940270,-0.066727,0.010587
0.020000,10.859143,22.248980,10.853313,9.258547,3.938924,-0.067312,0.010158
0.020000,11.045879,22.250835,11.040059,9.337298,3.937566,-0.067892,0.009704
0.020000,11.234192,22.252617,11.228379,9.416022,3.936197,-0.068465,0.009224
0.020000,11.424078,22.254321,11.418274,9.494719,3.934816,-0.069026,0.008719
0.020000,11.615539,22.255940,11.609742,9.573387,3.933424,-0.069613,0.008187
0.020000,11.808574,22.257467,11.802782,9.652028,3.932020,-0.070181,0.007627
0.020000,12.003181,22.258894,11.997395,9.730640,3.930606,-0.070730,0.007040
0.020000,12.199361,22.260216,12.193579,9.809223,3.929179,-0.071304,0.006424
0.020000,12.397113,22.261423,12.391335,9.887778,3.927742,-0.071872,0.005780
0.020000,12.596038,22.262506,12.590262,9.946373,2.929724,-49.900901,0.005107
0.020000,12.795337,22.263455,12.789564,9.965087,0.935738,-99.699319,0.004409
0.020000,12.994613,22.264262,12.988841,9.963868,-0.060950,-49.834358,0.003687
0.020000,13.193865,22.264922,13.188094,9.962649,-0.060945,0.000243,0.002940
0.020000,13.393093,22.265432,13.387323,9.961431,-0.060939,0.000278,0.002168
0.020000,13.592297,22.265785,13.586527,9.960212,-0.060933,0.000316,0.001372
0.020000,13.791476,22.265977,13.785707,9.958993,-0.060926,0.000356,0.000552
0.020000,13.990632,22.266003,13.984863,9.957775,-0.060918,0.000400,6.282893
0.020000,14.189763,22.265859,14.183994,9.956557,-0.060909,0.000446,6.282024
0.020000,14.388869,22.265539,14.383101,9.955339,-0.060899,0.000495,6.281131
0.020000,14.587951,22.265039,14.582183,9.954121,-0.060888,0.000548,6.280213
0.020000,14.787008,22.264354,14.781241,9.952904,-0.060876,0.000603,6.279272
0.020000,14.986040,22.263479,14.980275,9.951686,-0.060863,0.000662,6.278305
0.020000,15.185047,22.262410,15.179284,9.950469,-0.060848,0.000724,6.277315
0.020000,15.375606,22.261157,15.369847,9.528158,-21.115589,-1052.737023,6.275072
0.020000,15.569641,22.259038,15.563894,9.702352,8.709698,1491.264336,6.269119
0.020000,15.761672,22.255608,15.755956,9.603092,-4.962962,-683.632997,6.261182
0.020000,15.951572,22.250512,15.945924,9.498383,-5.235494,-13.626616,6.251150
0.020000,16.139170,22.243387,16.133658,9.386684,-5.584942,-17.472392,6.238885
0.020000,16.324251,22.233863,16.318983,9.266278,-6.020283,-21.767057,6.224212
0.020000,16.506542,22.221564,16.501689,9.135283,-6.549741,-26.472877,6.206920
0.020000,16.685708,22.206105,16.681521,8.991590,-7.184642,-31.745051,6.186755
0.020000,16.861341,22.187101,16.858179,8.832911,-7.933967,-37.466262,6.163417
0.020000,17.032951,22.164169,17.031315,8.656784,-8.806347,-43.618995,6.136558
0.020000,17.199961,22.136941,17.200529,8.460741,-9.802181,-49.791693,6.105779
0.020000,17.361700,22.105078,17.365377,8.242382,-10.917940,-55.787953,6.070635
0.020000,17.517412,22.068288,17.525376,7.999964,-12.120894,-60.147695,6.030645
0.020000,17.666275,22.026350,17.680034,7.732887,-13.353864,-61.648537,5.985316
0.020000,17.807441,21.979136,17.828886,7.442614,-14.513622,-57.987879,5.934185
0.020000,17.940108,21.926622,17.971568,7.134089,-15.426275,-45.632632,5.876886
0.020000,18.063615,21.868877,18.107908,6.816984,-15.855240,-21.448282,5.813249
0.020000,18.177568,21.806019,18.238048,6.507030,-15.497669,17.878583,5.743416
0.020000,18.281942,21.738112,18.362568,6.226005,-14.051291,72.318851,5.667966
0.020000,18.377126,21.665048,18.482562,5.999666,-11.316919,136.718635,5.587992
0.020000,18.463859,21.586430,18.599622,5.853029,-7.331852,199.253357,5.505086
0.020000,18.543046,21.501556,18.715701,5.803924,-2.455261,243.829522,5.421199
0.020000,18.615527,21.409523,18.832849,5.857408,2.674221,256.474109,5.338381
0.020000,18.681890,21.309443,18.952932,6.004162,7.337678,233.172828,5.258496
0.020000,18.742404,21.200671,19.077404,6.223596,10.971716,181.701921,5.182998
0.020000,18.797079,21.082948,19.207204,6.489988,13.319571,117.392751,5.112825
0.020000,18.845790,20.956430,19.342776,6.778593,14.430268,55.534852,5.048420
0.020000,18.888391,20.821610,19.484167,7.069540,14.547342,5.853682,4.989830
0.020000,18.924801,20.679213,19.631144,7.348882,13.967113,-29.011447,4.936827
0.020000,18.955031,20.530071,19.783320,7.608766,12.994182,-48.646534,4.889016
0.020000,18.979193,20.375041,19.940221,7.845068,11.815110,-58.953615,4.845929
0.020000,18.997475,20.214943,20.101359,8.056902,10.591696,-61.170676,4.807079
0.020000,19.010126,20.050524,20.266264,8.245240,9.416926,-58.738504,4.771992
0.020000,19.017427,19.882449,20.434498,8.411702,8.323060,-54.693296,4.740233
0.020000,19.020297,19.708031,20.608940,8.722093,15.519569,359.825423,4.723957
0.020000,19.022099,19.512684,20.804294,9.767726,52.281634,1838.103256,4.719312
0.020000,19.023018,19.317096,20.999884,9.779507,0.589080,-2584.627675,4.714902
0.020000,19.023097,19.121270,21.195711,9.791311,0.590188,0.055362,4.710728
0.020000,19.022382,18.925209,21.391773,9.803134,0.591123,0.046794,4.706791
0.020000,19.020916,18.728915,21.588073,9.814970,0.591811,0.034388,4.703091
0.020000,19.018744,18.532391,21.784609,9.826817,0.592351,0.026970,4.699627
0.020000,19.015912,18.335638,21.981382,9.838671,0.592726,0.018769,4.696401
0.020000,19.012464,18.138657,22.178393,9.850531,0.592977,0.012561,4.693411
0.020000,19.008445,17.941450,22.375641,9.862393,0.593119,0.007105,4.690659
0.020000,19.003902,17.744017,22.573126,9.874257,0.593180,0.003021,4.688145
0.020000,18.998880,17.546359,22.770848,9.886120,0.593162,-0.000897,4.685867
0.020000,18.993424,17.348474,22.968808,9.897982,0.593109,-0.002615,4.683827
0.020000,18.987582,17.150364,23.167005,9.909842,0.593000,-0.005472,4.682024
0.020000,18.981398,16.952026,23.365439,9.921700,0.592892,-0.005410,4.680458
0.020000,18.974919,16.753460,23.564110,9.933555,0.592755,-0.006845,4.679129
0.020000,18.968192,16.554666,23.763018,9.945408,0.592632,-0.006169,4.678037
0.020000,18.961271,16.355864,23.961940,9.946105,0.034879,-27.887621,4.677183
0.020000,18.954226,16.157677,24.160253,9.915645,-1.522998,-77.893861,4.676567
0.020000,18.947125,15.960679,24.357378,9.856266,-2.968954,-72.297811,4.676188
0.020000,18.940022,15.765052,24.553135,9.787832,-3.421726,-22.638561,4.676040
0.020000,18.932962,15.570797,24.747517,9.719118,-3.435670,-0.697231,4.676118
0.020000,18.925988,15.377921,24.940520,9.650129,-3.449473,-0.690118,4.676416
0.020000,18.919142,15.186426,25.132137,9.580866,-3.463136,-0.683176,4.676929
0.020000,18.912464,14.996317,25.322364,9.511333,-3.476661,-0.676247,4.677651
0.020000,18.905990,14.807597,25.511195,9.441532,-3.490060,-0.669948,4.678577
0.020000,18.899756,14.620271,25.698624,9.371465,-3.503331,-0.663558,4.679702
0.020000,18.893796,14.434344,25.884647,9.301136,-3.516482,-0.657534,4.681021
0.020000,18.888142,14.249820,26.069258,9.230545,-3.529521,-0.651982,4.682527
0.020000,18.882824,14.066703,26.252451,9.159696,-3.542452,-0.646533,4.684216
0.020000,18.877870,13.884999,26.434223,9.088590,-3.555281,-0.641463,4.686084
0.020000,18.873308,13.704712,26.614568,9.017230,-3.568020,-0.636917,4.688124
0.020000,18.869162,13.525848,26.793480,8.945617,-3.580671,-0.632562,4.690332
0.020000,18.865455,13.348411,26.970955,8.873752,-3.593239,-0.628391,4.692702
0.020000,18.862210,13.172408,27.146988,8.801637,-3.605732,-0.624682,4.695231
0.020000,18.859446,12.997845,27.321574,8.729274,-3.618154,-0.621057,4.697912
0.020000,18.857182,12.824726,27.494707,8.656664,-3.630514,-0.618012,4.700741
0.020000,18.855435,12.653059,27.666383,8.583808,-3.642813,-0.614944,4.703712
0.020000,18.854220,12.482849,27.836597,8.510707,-3.655054,-0.612075,4.706822
0.020000,18.853552,12.314103,28.005344,8.437362,-3.667241,-0.609352,4.710065
0.020000,18.853443,12.146828,28.172620,8.363774,-3.679392,-0.607552,4.713436
0.020000,18.853904,11.981030,28.338419,8.289945,-3.691464,-0.603609,4.716930
0.020000,18.854945,11.816716,28.502736,8.215874,-3.703532,-0.603397,4.720543
0.020000,18.856574,11.653892,28.665567,8.141564,-3.715514,-0.599103,4.724270
0.020000,18.858799,11.492567,28.826908,8.067014,-3.727477,-0.598109,4.728106
0.020000,18.861624,11.332748,28.986752,7.992226,-3.739383,-0.595331,4.732046
0.020000,18.865054,11.174441,29.145096,7.917202,-3.751226,-0.592140,4.736086
0.020000,18.869093,11.017654,29.301935,7.841940,-3.763109,-0.594162,4.740220
0.020000,18.873742,10.862395,29.457264,7.766444,-3.774795,-0.584284,4.744445
0.020000,18.879001,10.708671,29.611078,7.690713,-3.786529,-0.586702,4.748755
0.020000,18.884871,10.556489,29.763373,7.614749,-3.798197,-0.583404,4.753145
0.020000,18.891740,10.405979,29.914040,7.533333,-4.070796,-13.629964,4.766422
0.020000,18.902576,10.239502,30.080869,8.341452,40.405944,2223.836996,4.788549
0.020000,18.917147,10.073767,30.247243,8.318719,-1.136676,-2077.130956,4.811822
0.020000,18.935626,9.908822,30.413220,8.298855,-0.993205,7.173526,4.836299
0.020000,18.958192,9.744734,30.578853,8.281621,-0.861685,6.575992,4.862033
0.020000,18.985031,9.581587,30.744192,8.266959,-0.733099,6.429306,4.889072
0.020000,19.016332,9.419497,30.909277,8.254264,-0.634755,4.917225,4.917459
0.020000,19.052284,9.258598,31.074143,8.243311,-0.547657,4.354878,4.947227
0.020000,19.093072,9.099062,31.238811,8.233378,-0.496618,2.551932,4.978396
0.020000,19.138868,8.941095,31.403283,8.223602,-0.488805,0.390669,5.010971
0.020000,19.189829,8.784936,31.567547,8.213180,-0.521104,-1.614966,5.044938
0.020000,19.246085,8.630869,31.731563,8.200795,-0.619280,-4.908784,5.080258
0.020000,19.307727,8.479213,31.895268,8.185277,-0.775858,-7.828922,5.116869
0.020000,19.374804,8.330322,32.058571,8.165141,-1.006816,-11.547893,5.154677
0.020000,19.447307,8.184583,32.221348,8.138847,-1.314684,-15.393411,5.193559
0.020000,19.525161,8.042406,32.383445,8.104875,-1.698611,-19.196343,5.233363
0.020000,19.608220,7.904210,32.544682,8.061825,-2.152510,-22.694938,5.273907
0.020000,19.696264,7.770409,32.704852,8.008482,-2.667170,-25.733002,5.314983
0.020000,19.788994,7.641404,32.863726,7.943731,-3.237514,-28.517171,5.356365
0.020000,19.886042,7.517557,33.021067,7.867064,-3.833347,-29.791698,5.397813
