dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,24.525588,5.894230,0.000396,0.039574,1.978679,98.933963,3.142171
0.020000,24.525427,5.894230,0.000558,0.008091,-1.574123,-177.640099,3.142009
0.020000,24.525103,5.894229,0.000881,0.016172,0.404024,98.907357,3.141685
0.020000,24.520778,5.894230,0.005206,0.216258,10.004319,480.014739,3.141201
0.020000,24.513801,5.894235,0.012183,0.348849,6.629564,-168.737753,3.140556
0.020000,24.505081,5.894248,0.020903,0.435983,4.356676,-113.644386,3.139751
0.020000,24.494620,5.894272,0.031364,0.523073,4.354506,-0.108514,3.138787
0.020000,24.482418,5.894313,0.043566,0.610093,4.351000,-0.175286,3.137666
0.020000,24.468477,5.894377,0.057507,0.697044,4.347552,-0.172430,3.136388
0.020000,24.452799,5.894470,0.073185,0.783910,4.343319,-0.211658,3.134956
0.020000,24.435386,5.894599,0.090599,0.870687,4.338834,-0.224219,3.133372
0.020000,24.416240,5.894773,0.109746,0.957355,4.333383,-0.272541,3.131637
0.020000,24.395363,5.895001,0.130624,1.043909,4.327693,-0.284511,3.129755
0.020000,24.372758,5.895291,0.153231,1.130333,4.321205,-0.324416,3.127726
0.020000,24.348428,5.895655,0.177563,1.216623,4.314507,-0.334879,3.125555
0.020000,24.322377,5.896103,0.203618,1.302758,4.306747,-0.388025,3.123244
0.020000,24.294608,5.896647,0.231393,1.388731,4.298679,-0.403390,3.120796
0.020000,24.265124,5.897298,0.260884,1.474530,4.289925,-0.437726,3.118216
0.020000,24.233931,5.898070,0.292087,1.560143,4.280667,-0.462858,3.115506
0.020000,24.201032,5.898975,0.324998,1.645556,4.270630,-0.501877,3.112671
0.020000,24.166433,5.900027,0.359613,1.730756,4.259987,-0.532121,3.109714
0.020000,24.130139,5.901240,0.395927,1.815733,4.248856,-0.556557,3.106642
0.020000,24.092155,5.902629,0.433937,1.900468,4.236780,-0.603804,3.103457
0.020000,24.052487,5.904208,0.473636,1.984954,4.224291,-0.624477,3.100166
0.020000,24.011142,5.905992,0.515019,2.069175,4.211033,-0.662900,3.096773
0.020000,23.968127,5.907997,0.558082,2.153118,4.197151,-0.694089,3.093284
0.020000,23.923447,5.910237,0.602817,2.236768,4.182526,-0.731262,3.089705
0.020000,23.877112,5.912729,0.649219,2.320115,4.167339,-0.759345,3.086042
0.020000,23.829128,5.915487,0.697282,2.403142,4.151340,-0.799949,3.082302
0.020000,23.779505,5.918528,0.746999,2.485835,4.134662,-0.833878,3.078490
0.020000,23.728250,5.921867,0.798363,2.568183,4.117393,-0.863461,3.074615
0.020000,23.675372,5.925518,0.851366,2.650171,4.099426,-0.898351,3.070683
0.020000,23.620882,5.929498,0.906002,2.731785,4.080692,-0.936711,3.066701
0.020000,23.564788,5.933821,0.962262,2.813012,4.061345,-0.967321,3.062678
0.020000,23.507100,5.938501,1.020139,2.893839,4.041324,-1.001049,3.058621
0.020000,23.447830,5.943552,1.079624,2.974252,4.020648,-1.033837,3.054539
0.020000,23.386988,5.948988,1.140709,3.054237,3.999266,-1.069056,3.050440
0.020000,23.324584,5.954822,1.203384,3.133784,3.977356,-1.095506,3.046334
0.020000,23.260631,5.961066,1.267642,3.212877,3.954667,-1.134486,3.042228
0.020000,23.195139,5.967731,1.333472,3.291506,3.931430,-1.161843,3.038133
0.020000,23.128121,5.974828,1.400865,3.369658,3.907600,-1.191484,3.034057
0.020000,23.059588,5.982368,1.469811,3.447320,3.883104,-1.224824,3.030011
0.020000,22.989552,5.990358,1.540301,3.524481,3.858068,-1.251783,3.026005
0.020000,22.918027,5.998806,1.612324,3.601130,3.832440,-1.281404,3.022049
0.020000,22.845024,6.007720,1.685869,3.677255,3.806251,-1.309467,3.018153
0.020000,22.770556,6.017105,1.760926,3.752845,3.779507,-1.337171,3.014329
0.020000,22.694636,6.026965,1.837483,3.827890,3.752219,-1.364393,3.010587
0.020000,22.617276,6.037303,1.915531,3.902378,3.724404,-1.390749,3.006937
0.020000,22.538489,6.048120,1.995057,3.976299,3.696061,-1.417172,3.003393
0.020000,22.458288,6.059416,2.076050,4.049643,3.667206,-1.442762,2.999964
0.020000,22.376685,6.071190,2.158498,4.122400,3.637830,-1.468779,2.996663
0.020000,22.293693,6.083439,2.242389,4.194559,3.607963,-1.493325,2.993502
0.020000,22.209324,6.096156,2.327711,4.266110,3.577558,-1.520264,2.990493
0.020000,22.123590,6.109337,2.414452,4.337044,3.546681,-1.543857,2.987648
0.020000,22.036504,6.122971,2.502599,4.407349,3.515271,-1.570525,2.984980
0.020000,21.948077,6.137048,2.592139,4.477016,3.483340,-1.596530,2.982501
0.020000,21.858321,6.151556,2.683060,4.546034,3.450889,-1.622542,2.980225
0.020000,21.767248,6.166479,2.775348,4.614391,3.417883,-1.650284,2.978165
0.020000,21.674869,6.181801,2.868989,4.682078,3.384332,-1.677566,2.976334
0.020000,21.581194,6.197503,2.963971,4.749082,3.350218,-1.705689,2.974746
0.020000,21.486234,6.213563,3.060279,4.815392,3.315496,-1.736103,2.973415
0.020000,21.390395,6.229889,3.157499,4.861022,2.281474,-51.701128,2.972359
0.020000,21.294721,6.246276,3.254566,4.853340,-0.384110,-133.279193,2.971594
0.020000,21.200248,6.262518,3.350426,4.792982,-3.017898,-131.689416,2.971126
0.020000,21.107487,6.278497,3.444552,4.706322,-4.332993,-65.754748,2.970947
0.020000,21.016559,6.294163,3.536820,4.613405,-4.645835,-15.642071,2.971043
0.020000,20.927445,6.309496,3.627244,4.521182,-4.611154,1.734055,2.971401
0.020000,20.840128,6.324477,3.715837,4.429639,-4.577147,1.700334,2.972007
0.020000,20.754591,6.339088,3.802612,4.338763,-4.543796,1.667558,2.972847
0.020000,20.670820,6.353316,3.887583,4.248542,-4.511080,1.635789,2.973908
0.020000,20.588799,6.367148,3.970762,4.158962,-4.478993,1.604350,2.975179
0.020000,20.508514,6.380574,4.052162,4.070011,-4.447520,1.573655,2.976645
0.020000,20.429951,6.393587,4.131796,3.981679,-4.416615,1.545231,2.978295
0.020000,20.353096,6.406179,4.209675,3.893952,-4.386339,1.513807,2.980117
0.020000,20.277938,6.418346,4.285811,3.806820,-4.356596,1.487157,2.982098
0.020000,20.204465,6.430086,4.360217,3.720272,-4.327431,1.458269,2.984228
0.020000,20.132665,6.441397,4.432903,3.634295,-4.298836,1.429744,2.986494
0.020000,20.062526,6.452279,4.503880,3.548880,-4.270754,1.404091,2.988885
0.020000,19.994039,6.462733,4.573161,3.464015,-4.243261,1.374642,2.991391
0.020000,19.927193,6.472761,4.640754,3.379689,-4.216285,1.348802,2.994000
0.020000,19.861979,6.482367,4.706672,3.295891,-4.189877,1.320398,2.996702
0.020000,19.798387,6.491557,4.770924,3.212612,-4.163995,1.294115,2.999487
0.020000,19.736409,6.500334,4.833521,3.129838,-4.138679,1.265817,3.002345
0.020000,19.676036,6.508707,4.894472,3.047560,-4.113901,1.238866,3.005265
0.020000,19.617259,6.516681,4.953788,2.965766,-4.089681,1.211020,3.008238
0.020000,19.560071,6.524266,5.011477,2.884446,-4.066030,1.182551,3.011255
0.020000,19.504464,6.531469,5.067548,2.803587,-4.042942,1.154366,3.014305
0.020000,19.450430,6.538300,5.122012,2.723178,-4.020423,1.125973,3.017381
0.020000,19.397963,6.544769,5.174876,2.643209,-3.998489,1.096687,3.020474
0.020000,19.347056,6.550886,5.226149,2.563666,-3.977138,1.067553,3.023574
0.020000,19.297702,6.556660,5.275840,2.484538,-3.956381,1.037872,3.026674
0.020000,19.249895,6.562104,5.323957,2.405814,-3.936226,1.007722,3.029765
0.020000,19.203628,6.567228,5.370506,2.327480,-3.916665,0.978081,3.032841
0.020000,19.158896,6.572043,5.415497,2.249526,-3.897726,0.946955,3.035892
0.020000,19.115693,6.576561,5.458935,2.171938,-3.879398,0.916373,3.038912
0.020000,19.074013,6.580794,5.500829,2.094704,-3.861680,0.885907,3.041894
0.020000,19.033851,6.584752,5.541186,2.017812,-3.844610,0.853481,3.044831
0.020000,18.995202,6.588447,5.580011,1.941249,-3.828148,0.823143,3.047716
0.020000,18.958062,6.591891,5.617311,1.865002,-3.812345,0.790114,3.050543
0.020000,18.922424,6.595095,5.653092,1.789060,-3.797102,0.762151,3.053306
0.020000,18.888286,6.598071,5.687360,1.713408,-3.782589,0.725654,3.055999
0.020000,18.855641,6.600829,5.720121,1.638036,-3.768622,0.698360,3.058617
0.020000,18.824487,6.603380,5.751379,1.562929,-3.755360,0.663081,3.061153
0.020000,18.794819,6.605736,5.781141,1.488076,-3.742662,0.634895,3.063604
0.020000,18.766633,6.607905,5.809410,1.413462,-3.730667,0.599782,3.065965
0.020000,18.739926,6.609898,5.836192,1.339078,-3.719212,0.572731,3.068230
0.020000,18.714693,6.611725,5.861490,1.264908,-3.708513,0.534955,3.070395
0.020000,18.690933,6.613395,5.885309,1.190943,-3.698242,0.513559,3.072457
0.020000,18.668642,6.614917,5.907652,1.117167,-3.688779,0.473150,3.074411
0.020000,18.647816,6.616299,5.928524,1.043570,-3.679866,0.445662,3.076255
0.020000,18.628454,6.617549,5.947926,0.970140,-3.671481,0.419221,3.077984
0.020000,18.610552,6.618675,5.965864,0.896864,-3.663820,0.383072,3.079595
0.020000,18.594108,6.619683,5.982338,0.823731,-3.656674,0.357310,3.081087
0.020000,18.579120,6.620581,5.997353,0.750728,-3.650151,0.326145,3.082455
0.020000,18.565587,6.621374,6.010910,0.677842,-3.644285,0.293266,3.083698
0.020000,18.553505,6.622067,6.023011,0.605064,-3.638871,0.270708,3.084814
0.020000,18.542875,6.622666,6.033659,0.532381,-3.634186,0.234262,3.085801
0.020000,18.533693,6.623175,6.042854,0.459781,-3.629987,0.209932,3.086656
0.020000,18.525959,6.623597,6.050599,0.387254,-3.626336,0.182547,3.087380
0.020000,18.519673,6.623937,6.056895,0.314787,-3.623352,0.149216,3.087969
0.020000,18.514832,6.624195,6.061742,0.242368,-3.620950,0.120122,3.088424
0.020000,18.511437,6.624376,6.065142,0.169988,-3.619015,0.096753,3.088744
0.020000,18.509487,6.624479,6.067095,0.097635,-3.617619,0.069799,3.088928
0.020000,18.508747,6.624518,6.067836,0.037056,-3.028960,29.432933,3.088998
0.020000,18.508621,6.624524,6.067962,0.006324,-1.536609,74.617558,3.089010
0.020000,18.508621,6.624524,6.067962,0.000000,-0.316205,61.020166,3.089010
