dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,24.524432,7.894229,0.000396,0.039574,1.978679,98.933963,3.142171
0.020000,24.524594,7.894229,0.000558,0.008091,-1.574123,-177.640099,3.142009
0.020000,24.524918,7.894229,0.000881,0.016172,0.404024,98.907357,3.141685
0.020000,24.521562,7.894230,0.004237,0.167795,7.581164,358.857002,3.141201
0.020000,24.515875,7.894234,0.009923,0.284328,5.826638,-87.726315,3.140556
0.020000,24.508765,7.894244,0.017033,0.355484,3.557825,-113.440655,3.139751
0.020000,24.500232,7.894264,0.025567,0.426698,3.560703,0.143905,3.138787
0.020000,24.490272,7.894298,0.035526,0.497967,3.563441,0.136914,3.137666
0.020000,24.478886,7.894350,0.046913,0.569311,3.567186,0.187230,3.136388
0.020000,24.466072,7.894426,0.059727,0.640736,3.571262,0.203809,3.134956
0.020000,24.451827,7.894531,0.073973,0.712258,3.576119,0.242836,3.133372
0.020000,24.436150,7.894674,0.089650,0.783882,3.581186,0.253345,3.131637
0.020000,24.419038,7.894860,0.106763,0.855624,3.587073,0.294358,3.129755
0.020000,24.400490,7.895099,0.125312,0.927490,3.593339,0.313324,3.127726
0.020000,24.380502,7.895398,0.145302,0.999500,3.600485,0.357294,3.125555
0.020000,24.359072,7.895766,0.166736,1.071657,3.607828,0.367107,3.123244
0.020000,24.336197,7.896214,0.189615,1.143977,3.616004,0.408832,3.120796
0.020000,24.311874,7.896751,0.213945,1.216471,3.624722,0.435878,3.118216
0.020000,24.286099,7.897389,0.239728,1.289154,3.634150,0.471406,3.115506
0.020000,24.258868,7.898138,0.266968,1.362036,3.644077,0.496349,3.112671
0.020000,24.230179,7.899011,0.295671,1.435129,3.654664,0.529368,3.109714
0.020000,24.200027,7.900019,0.325840,1.508449,3.666025,0.568035,3.106642
0.020000,24.168408,7.901175,0.357480,1.582005,3.677795,0.588512,3.103457
0.020000,24.135318,7.902492,0.390596,1.655814,3.690430,0.631748,3.100166
0.020000,24.100752,7.903984,0.425194,1.729887,3.703647,0.660851,3.096773
0.020000,24.064706,7.905664,0.461279,1.804238,3.717577,0.696508,3.093284
0.020000,24.027176,7.907545,0.498856,1.878881,3.732129,0.727592,3.089705
0.020000,23.988156,7.909644,0.537933,1.953830,3.747462,0.766638,3.086042
0.020000,23.947641,7.911973,0.578515,2.029098,3.763370,0.795386,3.082302
0.020000,23.905626,7.914548,0.620609,2.104697,3.779966,0.829823,3.078490
0.020000,23.862105,7.917382,0.664222,2.180643,3.797325,0.867938,3.074615
0.020000,23.817073,7.920492,0.709361,2.256951,3.815354,0.901440,3.070683
0.020000,23.770525,7.923892,0.756033,2.333630,3.833987,0.931693,3.066701
0.020000,23.722453,7.927597,0.804247,2.410697,3.853350,0.968141,3.062678
0.020000,23.672853,7.931621,0.854011,2.488165,3.873379,1.001423,3.058621
0.020000,23.621717,7.935979,0.905332,2.566046,3.894076,1.034874,3.054539
0.020000,23.569040,7.940685,0.958219,2.644354,3.915386,1.065467,3.050440
0.020000,23.514814,7.945755,1.012681,2.723103,3.937442,1.102798,3.046334
0.020000,23.459034,7.951201,1.068727,2.802303,3.960008,1.128324,3.042228
0.020000,23.401690,7.957037,1.126366,2.881968,3.983266,1.162901,3.038133
0.020000,23.342778,7.963276,1.185608,2.962112,4.007155,1.194441,3.034057
0.020000,23.282288,7.969930,1.246463,3.042743,4.031587,1.221595,3.030011
0.020000,23.220213,7.977012,1.308941,3.123876,4.056651,1.253198,3.026005
0.020000,23.156545,7.984533,1.373051,3.205522,4.082277,1.281313,3.022049
0.020000,23.091276,7.992503,1.438805,3.287691,4.108470,1.309667,3.018153
0.020000,23.024397,8.000931,1.506213,3.370396,4.135215,1.337250,3.014329
0.020000,22.955899,8.009827,1.575286,3.453646,4.162500,1.364241,3.010587
0.020000,22.885774,8.019198,1.646035,3.537452,4.190322,1.391082,3.006937
0.020000,22.814011,8.029051,1.718471,3.621825,4.218663,1.417055,3.003393
0.020000,22.740600,8.039391,1.792607,3.706776,4.247525,1.443117,2.999964
0.020000,22.665531,8.050222,1.868453,3.792314,4.276891,1.468293,2.996663
0.020000,22.588793,8.061548,1.946022,3.878449,4.306781,1.494516,2.993502
0.020000,22.510375,8.073369,2.025326,3.965192,4.337150,1.518435,2.990493
0.020000,22.430265,8.085684,2.106377,4.052553,4.368062,1.545587,2.987648
0.020000,22.348451,8.098493,2.189188,4.140543,4.399467,1.570272,2.984980
0.020000,22.264919,8.111791,2.273771,4.229171,4.431391,1.596200,2.982501
0.020000,22.179657,8.125573,2.360140,4.318448,4.463852,1.623026,2.980225
0.020000,22.092650,8.139830,2.448308,4.408384,4.496839,1.649376,2.978165
0.020000,22.003883,8.154553,2.538288,4.498992,4.530391,1.677582,2.976334
0.020000,21.913340,8.169730,2.630093,4.590283,4.564524,1.706666,2.974746
0.020000,21.821006,8.185345,2.723739,4.682267,4.599233,1.735436,2.973415
0.020000,21.727249,8.201317,2.818846,4.755359,3.654581,-47.232589,2.972359
0.020000,21.633083,8.217446,2.914384,4.776881,1.076100,-128.924067,2.971594
0.020000,21.539532,8.233530,3.009308,4.746197,-1.534174,-130.513711,2.971126
0.020000,21.447125,8.249447,3.103076,4.688403,-2.889741,-67.778333,2.970947
0.020000,21.356007,8.265146,3.195536,4.623025,-3.268883,-18.957080,2.971043
0.020000,21.266187,8.280601,3.286675,4.556954,-3.303565,-1.734113,2.971401
0.020000,21.177676,8.295786,3.376479,4.490202,-3.337576,-1.700564,2.972007
0.020000,21.090484,8.310680,3.464935,4.422784,-3.370931,-1.667716,2.972847
0.020000,21.004619,8.325264,3.552029,4.354711,-3.403641,-1.635497,2.973908
0.020000,20.920093,8.339518,3.637749,4.285996,-3.435731,-1.604545,2.975179
0.020000,20.836915,8.353428,3.722082,4.216652,-3.467218,-1.574351,2.976645
0.020000,20.755096,8.366980,3.805016,4.146690,-3.498082,-1.543193,2.978295
0.020000,20.674646,8.380161,3.886538,4.076122,-3.528410,-1.516399,2.980117
0.020000,20.595576,8.392962,3.966638,4.004959,-3.558125,-1.485718,2.982098
0.020000,20.517897,8.405374,4.045302,3.933214,-3.587290,-1.458269,2.984228
0.020000,20.441620,8.417390,4.122520,3.860895,-3.615914,-1.431183,2.986494
0.020000,20.366755,8.429005,4.198280,3.788016,-3.643946,-1.401592,2.988885
0.020000,20.293314,8.440214,4.272572,3.714587,-3.671474,-1.376407,2.991391
0.020000,20.221308,8.451017,4.345384,3.640618,-3.698425,-1.347581,2.994000
0.020000,20.150747,8.461411,4.416707,3.566121,-3.724856,-1.321545,2.996702
0.020000,20.081642,8.471397,4.486529,3.491107,-3.750719,-1.293123,2.999487
0.020000,20.014005,8.480976,4.554840,3.415586,-3.776052,-1.266646,3.002345
0.020000,19.947847,8.490150,4.621632,3.339570,-3.800819,-1.238356,3.005265
0.020000,19.883178,8.498924,4.686893,3.263069,-3.825030,-1.210588,3.008238
0.020000,19.820010,8.507302,4.750615,3.186095,-3.848690,-1.182975,3.011255
0.020000,19.758352,8.515289,4.812788,3.108660,-3.871779,-1.154456,3.014305
0.020000,19.698215,8.522892,4.873404,3.030774,-3.894289,-1.125516,3.017381
