dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.626530,8.755671,0.000397,0.039705,1.985244,99.262210,0.000914
0.020000,18.626785,8.755671,0.000651,0.012722,-1.349137,-166.719040,0.000660
0.020000,18.627293,8.755672,0.001160,0.025427,0.635235,99.218575,0.000151
0.020000,18.631873,8.755670,0.005740,0.229008,10.179073,477.191929,6.282575
0.020000,18.639241,8.755662,0.013107,0.368361,6.967645,-160.571440,6.281560
0.020000,18.648447,8.755641,0.022314,0.460326,4.598260,-118.469228,6.280295
0.020000,18.659492,8.755601,0.033358,0.552226,4.594969,-0.164533,6.278779
0.020000,18.672372,8.755533,0.046239,0.644010,4.589218,-0.287592,6.277017
0.020000,18.687085,8.755427,0.060952,0.735686,4.583804,-0.270667,6.275008
0.020000,18.703629,8.755273,0.077497,0.827226,4.576971,-0.341672,6.272758
0.020000,18.722000,8.755059,0.095869,0.918619,4.569646,-0.366218,6.270267
0.020000,18.742194,8.754770,0.116066,1.009835,4.560813,-0.441695,6.267541
0.020000,18.764209,8.754393,0.138083,1.100866,4.551539,-0.463661,6.264582
0.020000,18.788037,8.753912,0.161917,1.191681,4.540775,-0.538195,6.261395
0.020000,18.813676,8.753310,0.187562,1.282270,4.529438,-0.566895,6.257984
0.020000,18.841118,8.752568,0.215014,1.372601,4.516566,-0.643582,6.254355
0.020000,18.870357,8.751668,0.244268,1.462660,4.502937,-0.681451,6.250513
0.020000,18.901387,8.750591,0.275316,1.552415,4.487749,-0.759376,6.246464
0.020000,18.934199,8.749316,0.308153,1.641859,4.472228,-0.776050,6.242214
0.020000,18.968786,8.747821,0.342772,1.730947,4.454399,-0.891456,6.237771
0.020000,19.005138,8.746084,0.379165,1.819666,4.435908,-0.924587,6.233141
0.020000,19.043245,8.744084,0.417325,1.907993,4.416353,-0.977717,6.228333
0.020000,19.083097,8.741796,0.457243,1.995890,4.394883,-1.073512,6.223356
0.020000,19.124683,8.739197,0.498910,2.083345,4.372723,-1.107997,6.218217
0.020000,19.167990,8.736265,0.542316,2.170323,4.348899,-1.191217,6.212928
0.020000,19.213006,8.732974,0.587452,2.256793,4.323498,-1.270055,6.207497
0.020000,19.259717,8.729300,0.634307,2.342742,4.297440,-1.302856,6.201935
0.020000,19.308107,8.725221,0.682870,2.428127,4.269267,-1.408680,6.196253
0.020000,19.358163,8.720712,0.733128,2.512932,4.240238,-1.451445,6.190464
0.020000,19.409868,8.715750,0.785071,2.597122,4.209530,-1.535397,6.184579
0.020000,19.463205,8.710313,0.838684,2.680677,4.177753,-1.588859,6.178612
0.020000,19.518157,8.704377,0.893955,2.763566,4.144419,-1.666683,6.172574
0.020000,19.574705,8.697921,0.950871,2.845766,4.110007,-1.720615,6.166481
0.020000,19.632830,8.690925,1.009416,2.927247,4.074079,-1.796379,6.160346
0.020000,19.692514,8.683369,1.069576,3.007991,4.037178,-1.845074,6.154185
0.020000,19.753735,8.675235,1.131335,3.087969,3.998892,-1.914296,6.148013
0.020000,19.816474,8.666504,1.194678,3.167159,3.959511,-1.969042,6.141844
0.020000,19.880709,8.657162,1.259589,3.245539,3.919007,-2.025205,6.135697
0.020000,19.946419,8.647193,1.326051,3.323088,3.877463,-2.077175,6.129586
0.020000,20.013582,8.636585,1.394046,3.399786,3.834891,-2.128640,6.123530
0.020000,20.082177,8.625328,1.463559,3.475613,3.791358,-2.176654,6.117545
0.020000,20.152181,8.613412,1.534570,3.550551,3.746894,-2.223183,6.111650
0.020000,20.223572,8.600830,1.607061,3.624582,3.701561,-2.266661,6.105863
0.020000,20.296329,8.587577,1.681015,3.697690,3.655369,-2.309591,6.100201
0.020000,20.370429,8.573651,1.756412,3.769859,3.608461,-2.345380,6.094685
0.020000,20.445850,8.559053,1.833234,3.841073,3.560685,-2.388821,6.089332
0.020000,20.522572,8.543783,1.911460,3.911318,3.512264,-2.421058,6.084162
0.020000,20.600572,8.527847,1.991072,3.980579,3.463062,-2.460108,6.079196
0.020000,20.679830,8.511253,2.072049,4.048842,3.413147,-2.495733,6.074452
0.020000,20.760326,8.494011,2.154370,4.116093,3.362556,-2.529559,6.069952
0.020000,20.842040,8.476134,2.238017,4.182318,3.311233,-2.566110,6.065715
0.020000,20.924952,8.457639,2.322967,4.247501,3.259134,-2.604967,6.061763
0.020000,21.009044,8.438545,2.409199,4.311626,3.206257,-2.643850,6.058117
0.020000,21.094298,8.418874,2.496693,4.374677,3.152577,-2.683987,6.054798
0.020000,21.180696,8.398653,2.585426,4.436638,3.098024,-2.727647,6.051827
0.020000,21.268222,8.377911,2.675375,4.497487,3.042459,-2.778279,6.049228
0.020000,21.356858,8.356680,2.766519,4.557206,2.985964,-2.824724,6.047023
0.020000,21.446591,8.334997,2.858835,4.615771,2.928244,-2.886006,6.045235
0.020000,21.537405,8.312902,2.952298,4.673159,2.869398,-2.942338,6.043887
0.020000,21.629286,8.290439,3.046885,4.729344,2.809218,-3.008995,6.043004
0.020000,21.722220,8.267655,3.142571,4.784296,2.747626,-3.079602,6.042609
0.020000,21.815809,8.244696,3.238935,4.818212,1.695796,-52.591482,6.042728
0.020000,21.909111,8.221846,3.334995,4.802976,-0.761775,-122.878561,6.043370
0.020000,22.001203,8.199380,3.429787,4.739627,-3.167486,-120.285539,6.044524
0.020000,22.091520,8.177480,3.522721,4.646707,-4.645982,-73.924813,6.046167
0.020000,22.179885,8.156229,3.613605,4.544201,-5.125307,-23.966217,6.048271
0.020000,22.266328,8.135653,3.702463,4.442900,-5.065053,3.012684,6.050814
0.020000,22.350878,8.115773,3.789319,4.342779,-5.006065,2.949408,6.053771
0.020000,22.433562,8.096607,3.874195,4.243818,-4.948051,2.900712,6.057119
0.020000,22.514405,8.078168,3.957115,4.145994,-4.891164,2.844334,6.060835
0.020000,22.593433,8.060466,4.038101,4.049294,-4.835023,2.807031,6.064896
0.020000,22.670667,8.043509,4.117175,3.953699,-4.779742,2.764041,6.069282
0.020000,22.746130,8.027299,4.194359,3.859193,-4.725275,2.723384,6.073969
0.020000,22.819841,8.011837,4.269674,3.765765,-4.671449,2.691306,6.078937
0.020000,22.891820,7.997121,4.343142,3.673398,-4.618323,2.656264,6.084164
0.020000,22.962085,7.983147,4.414784,3.582081,-4.565830,2.624684,6.089629
0.020000,23.030655,7.969907,4.484620,3.491802,-4.513988,2.592089,6.095312
0.020000,23.097545,7.957391,4.552671,3.402547,-4.462754,2.561692,6.101191
0.020000,23.162772,7.945590,4.618957,3.314303,-4.412203,2.527548,6.107247
0.020000,23.226351,7.934489,4.683498,3.227056,-4.362315,2.494405,6.113460
0.020000,23.288298,7.924074,4.746314,3.140793,-4.313150,2.458234,6.119810
