dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.627445,7.755672,0.000397,0.039705,1.985244,99.262210,0.000914
0.020000,18.627445,7.755672,0.001985,0.119115,3.970488,99.262210,0.000660
0.020000,18.627445,7.755672,0.005162,0.198524,3.970488,-0.000000,0.000151
0.020000,18.631263,7.755670,0.009926,0.277934,3.970488,0.000000,6.282575
0.020000,18.637616,7.755663,0.016279,0.357344,3.970488,-0.000000,6.281560
0.020000,18.645556,7.755645,0.024220,0.436754,3.970488,0.000000,6.280295
0.020000,18.655086,7.755611,0.033749,0.516163,3.970488,-0.000000,6.278779
0.020000,18.666203,7.755552,0.044867,0.595573,3.970488,-0.000000,6.277017
0.020000,18.678908,7.755461,0.057572,0.674983,3.970488,0.000000,6.275008
0.020000,18.693201,7.755328,0.071866,0.754393,3.970488,0.000000,6.272758
0.020000,18.709082,7.755142,0.087748,0.833803,3.970488,-0.000000,6.270267
0.020000,18.726550,7.754893,0.105218,0.913212,3.970488,0.000000,6.267541
0.020000,18.745606,7.754566,0.124276,0.992622,3.970488,0.000000,6.264582
0.020000,18.766248,7.754149,0.144923,1.072032,3.970488,-0.000000,6.261395
0.020000,18.788477,7.753627,0.167158,1.151442,3.970488,0.000000,6.257984
0.020000,18.812291,7.752983,0.190980,1.230851,3.970488,0.000000,6.254355
0.020000,18.837690,7.752202,0.216392,1.310261,3.970488,-0.000000,6.250513
0.020000,18.864673,7.751265,0.243391,1.389671,3.970488,0.000000,6.246464
0.020000,18.893239,7.750155,0.271978,1.469081,3.970488,0.000000,6.242214
0.020000,18.923387,7.748852,0.302154,1.548490,3.970488,-0.000000,6.237771
0.020000,18.955114,7.747336,0.333918,1.627900,3.970488,0.000000,6.233141
0.020000,18.988421,7.745588,0.367270,1.707310,3.970488,0.000000,6.228333
0.020000,19.023303,7.743585,0.402210,1.786720,3.970488,0.000000,6.223356
0.020000,19.059761,7.741307,0.438739,1.866130,3.970488,-0.000000,6.218217
0.020000,19.097790,7.738732,0.476856,1.945539,3.970488,0.000000,6.212928
0.020000,19.137389,7.735837,0.516561,2.024949,3.970488,0.000000,6.207497
0.020000,19.178555,7.732599,0.557854,2.104359,3.970488,0.000000,6.201935
0.020000,19.221285,7.728997,0.600735,2.183769,3.970488,0.000000,6.196253
0.020000,19.265575,7.725008,0.645204,2.263178,3.970488,-0.000000,6.190464
0.020000,19.311422,7.720608,0.691262,2.342588,3.970488,0.000000,6.184579
0.020000,19.358822,7.715776,0.738908,2.421998,3.970488,0.000000,6.178612
0.020000,19.407771,7.710488,0.788142,2.501408,3.970488,0.000000,6.172574
0.020000,19.458266,7.704724,0.838964,2.580817,3.970488,0.000000,6.166481
0.020000,19.510300,7.698461,0.891375,2.660227,3.970488,-0.000000,6.160346
0.020000,19.563871,7.691678,0.945373,2.739637,3.970488,-0.000000,6.154185
0.020000,19.618974,7.684357,1.000960,2.819047,3.970488,0.000000,6.148013
0.020000,19.675603,7.676476,1.058135,2.898457,3.970488,-0.000000,6.141844
0.020000,19.733754,7.668018,1.116898,2.977866,3.970488,0.000000,6.135697
0.020000,19.793423,7.658966,1.177250,3.057276,3.970488,0.000000,6.129586
0.020000,19.854604,7.649303,1.239189,3.136686,3.970488,-0.000000,6.123530
0.020000,19.917293,7.639015,1.302717,3.216096,3.970488,-0.000000,6.117545
0.020000,19.981486,7.628088,1.367833,3.295505,3.970488,0.000000,6.111650
0.020000,20.047177,7.616510,1.434537,3.374915,3.970488,0.000000,6.105863
0.020000,20.114364,7.604272,1.502830,3.454325,3.970488,-0.000000,6.100201
0.020000,20.183042,7.591365,1.572710,3.533735,3.970488,0.000000,6.094685
0.020000,20.253209,7.577783,1.644179,3.613144,3.970488,0.000000,6.089332
0.020000,20.324860,7.563522,1.717236,3.692554,3.970488,-0.000000,6.084162
0.020000,20.397994,7.548581,1.791881,3.771964,3.970488,0.000000,6.079196
0.020000,20.472610,7.532958,1.868115,3.851374,3.970488,0.000000,6.074452
0.020000,20.548705,7.516659,1.945936,3.930783,3.970488,-0.000000,6.069952
0.020000,20.626280,7.499687,2.025346,4.010193,3.970488,0.000000,6.065715
0.020000,20.705335,7.482052,2.106344,4.089603,3.970488,0.000000,6.061763
0.020000,20.785871,7.463766,2.188930,4.169013,3.970488,-0.000000,6.058117
0.020000,20.867891,7.444841,2.273105,4.248423,3.970488,0.000000,6.054798
0.020000,20.951396,7.425297,2.358867,4.327832,3.970488,-0.000000,6.051827
0.020000,21.036393,7.405154,2.446218,4.407242,3.970488,0.000000,6.049228
0.020000,21.122885,7.384437,2.535157,4.486652,3.970488,0.000000,6.047023
0.020000,21.210880,7.363174,2.625684,4.566062,3.970488,-0.000000,6.045235
0.020000,21.300384,7.341398,2.717799,4.645471,3.970488,0.000000,6.043887
0.020000,21.391407,7.319144,2.811503,4.724881,3.970488,0.000000,6.043004
0.020000,21.483958,7.296454,2.906795,4.804291,3.970488,0.000000,6.042609
0.020000,21.577662,7.273467,3.003277,4.843996,1.985244,-99.262210,6.042728
0.020000,21.671588,7.250464,3.099979,4.826127,-0.893463,-143.935381,6.043370
0.020000,21.764801,7.227724,3.195925,4.768552,-2.878708,-99.262210,6.044524
0.020000,21.856715,7.205438,3.290502,4.689143,-3.970488,-54.589038,6.046167
0.020000,21.947126,7.183695,3.383491,4.609733,-3.970488,-0.000000,6.048271
0.020000,22.036042,7.162530,3.474892,4.530323,-3.970488,0.000000,6.050814
