dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.628359,6.755672,0.000397,0.039705,1.985244,99.262210,0.000914
0.020000,18.628105,6.755672,0.000651,0.012722,-1.349137,-166.719040,0.000660
0.020000,18.627596,6.755672,0.001160,0.025427,0.635235,99.218575,0.000151
0.020000,18.630652,6.755671,0.004216,0.152811,6.369183,286.697425,6.282575
0.020000,18.635991,6.755665,0.009555,0.266916,5.705285,-33.194940,6.281560
0.020000,18.642666,6.755650,0.016230,0.333762,3.342311,-118.148698,6.280295
0.020000,18.650680,6.755620,0.024244,0.400701,3.346922,0.230575,6.278779
0.020000,18.660034,6.755571,0.033598,0.467725,3.351215,0.214665,6.277017
0.020000,18.670731,6.755494,0.044296,0.534870,3.357257,0.302079,6.275008
0.020000,18.682774,6.755382,0.056339,0.602147,3.363811,0.327713,6.272758
0.020000,18.696164,6.755226,0.069730,0.669579,3.371599,0.389379,6.270267
0.020000,18.710906,6.755015,0.084474,0.737177,3.379927,0.416414,6.267541
0.020000,18.727003,6.754740,0.100573,0.804970,3.389629,0.485083,6.264582
0.020000,18.744459,6.754387,0.118033,0.872969,3.399992,0.518157,6.261395
0.020000,18.763278,6.753945,0.136857,0.941204,3.411744,0.587627,6.257984
0.020000,18.783465,6.753399,0.157050,1.009689,3.424242,0.624895,6.254355
0.020000,18.805023,6.752736,0.178619,1.078452,3.438115,0.693616,6.250513
0.020000,18.827960,6.751940,0.201570,1.147508,3.452831,0.735820,6.246464
0.020000,18.852279,6.750994,0.225908,1.216895,3.469355,0.826196,6.242214
0.020000,18.877988,6.749883,0.251640,1.286621,3.486282,0.846332,6.237771
0.020000,18.905091,6.748588,0.278774,1.356718,3.504881,0.929961,6.233141
0.020000,18.933596,6.747092,0.307319,1.427217,3.524909,1.001389,6.228333
0.020000,18.963510,6.745374,0.337281,1.498132,3.545770,1.043086,6.223356
0.020000,18.994839,6.743417,0.368671,1.569500,3.568422,1.132557,6.218217
0.020000,19.027590,6.741199,0.401498,1.641344,3.592164,1.187116,6.212928
